200
  120	 -175	  257	  281	  131	  -11	 -139	 -102	  114	  107	
   38	  146	  121	  258	  -95	   30	  298	  250	  223	   23	
  104	  -84	  173	  -89	  294	  216	  176	  -88	  130	 -162	
 -133	   69	  -67	  -17	 -120	   82	   41	 -180	  -93	  165	
  112	 -125	  172	  102	   71	  269	  288	 -190	   67	  227	
  271	   40	   87	  137	  189	 -152	   42	 -168	 -111	  189	
   74	  268	   25	   88	 -135	  -95	  295	  226	 -162	   21	
  211	   18	   76	  -46	   14	 -178	  150	    7	  210	   -5	
 -181	  -99	  -44	  231	  172	  212	  258	  115	  -34	  112	
  -35	  -70	  258	  185	  -42	   97	  238	    9	 -161	 -178	
 -157	   56	  108	  105	  215	   24	  -54	   77	  -69	 -122	
 -115	  105	  -83	  140	   97	  -12	 -122	  -55	  126	  297	
  -29	   34	  120	 -198	  105	  -49	  -25	  -67	  190	   77	
  119	   44	 -162	 -199	 -176	  -16	 -141	   97	   89	  -68	
  -51	  269	  -89	   67	  269	  144	 -177	  190	  -50	   88	
  -41	  154	  272	  180	  109	  229	   -4	  177	  -32	  115	
  -99	  227	  249	  248	  234	  -80	  -67	 -187	 -157	  285	
 -164	  -61	  168	  248	  241	  218	 -137	  -54	  194	   45	
  298	 -123	  278	   85	 -103	  -75	  194	  197	  -59	  -77	
  -87	   29	  129	  -94	   39	  190	  -64	  -47	  132	  -36	
