300
   69	  -89	  476	  383	 -122	  -46	  280	  -75	 -157	  -10	
  119	 -293	  424	  -91	  208	  157	  252	  185	 -184	  345	
 -103	  -46	 -181	  126	   63	  257	  124	  371	 -216	  102	
  -87	 -292	  191	   21	  387	  184	  109	   62	 -244	  398	
  340	 -211	  402	  298	  224	  143	  -37	  258	 -197	 -202	
    1	 -291	  224	   -2	  160	 -170	 -270	   81	  109	 -194	
  430	  488	  490	  384	  285	  -44	  119	  329	 -177	   28	
  235	 -248	  -59	 -121	    4	  242	  429	  156	  379	  232	
 -109	  296	  123	  413	  406	  256	 -173	 -109	  441	  328	
  490	 -122	  283	  115	   51	  -21	  -23	  203	  -31	  218	
  242	 -172	 -227	  137	  380	   44	 -299	 -293	   21	   54	
 -297	 -134	 -148	  151	  127	  320	 -223	  416	   13	  412	
   -5	   45	 -261	  371	   56	  109	  397	  485	 -278	  388	
  393	  209	 -288	  493	  169	  219	  226	  -28	 -209	 -242	
   34	  227	   24	  285	  463	  171	  276	 -146	 -213	  485	
   21	  249	  127	  457	 -121	  429	  206	  223	  -33	 -268	
    8	  133	 -298	  -72	  224	  208	  -72	   38	  447	  118	
 -105	   18	  250	 -116	  102	 -101	  258	  235	  131	  272	
 -197	   -8	 -172	 -269	  207	  420	 -106	  157	  -93	 -175	
  114	    2	 -277	  471	  433	  -10	  249	 -123	  497	  113	
  444	   76	  -72	  175	  135	   88	   40	   59	  174	  224	
  404	  -83	 -295	  449	   50	  401	 -270	  198	 -271	  458	
  449	  139	 -211	  118	  186	   33	 -255	  308	  245	  -76	
   29	  -92	  447	  140	   -8	   78	  303	 -143	 -185	  293	
  316	  -77	  302	  301	 -275	  424	  310	  443	  496	   87	
  448	  124	  271	  372	   25	  217	  383	 -243	 -145	  121	
  251	  293	  451	  167	  -14	  479	  447	 -266	  284	  125	
   74	 -190	   50	 -151	  154	  -72	 -193	  405	   73	   25	
  369	  286	  138	  315	  -76	  -42	  126	  177	   65	  481	
  -29	  397	  -13	  448	  332	 -189	   59	  493	  246	  -17	
