100
  124	   13	  151	  174	  -51	  -39	  122	   -5	  158	  143	
  -88	    3	  109	  -81	   63	   20	   50	   49	  -16	   67	
    2	  -68	   87	  -81	  151	  149	  -85	  111	  176	  -50	
   50	   16	  -61	    0	  119	  -89	  -32	   48	  110	   99	
  -96	   21	   -9	  -47	   89	  -63	   23	  189	  188	  -88	
  -80	  132	    4	  125	  -96	   82	  -15	   64	  -89	  -74	
  185	   84	  196	  172	   50	    2	  196	   79	  168	   -7	
  113	  183	  116	   87	  -77	  176	    0	   76	   36	   83	
   -3	  -10	  -51	  -28	  135	  -99	   15	  113	  168	   16	
  159	    6	  160	   98	   90	   30	  -17	  162	  -52	   45	
